jlpt,kanji,kana
3,,やっぱり
3,,やむ
3,,やめる
3,,やる
3,柔らかい,やわらかい
3,湯,ゆ
3,夕飯,ゆうはん
3,輸出,ゆしゅつ
3,指,ゆび
3,指輪,ゆびわ
3,夢,ゆめ
3,揺れる,ゆれる
3,用,よう
3,用意,ようい
3,用事,ようじ
3,汚れる,よごれる
3,予習,よしゅう
3,予定,よてい
3,予約,よやく
3,寄る,よる
3,喜ぶ,よろこぶ
3,,よろしい
3,弱い,よわい
3,理由,りゆう
3,利用,りよう
3,両方,りょうほう
3,旅館,りょかん
3,留守,るす
3,歴史,れきし
3,連絡,れんらく
3,沸かす,わかす
3,別れる,わかれる
3,沸く,わく
3,訳,わけ
3,忘れ物,わすれもの
3,笑う,わらう
3,割合,わりあい
3,割れる,われる
2,,あ
2,,ああ
2,愛,あい
2,,あいかわらず
2,挨拶,あいさつ
2,愛情,あいじょう
2,合図,あいず
2,,アイスクリーム
2,愛する,あいする
2,相手,あいて
2,,アイデア
2,,アイディア
2,,あいにく
2,,あいまい
2,,アイロン
2,遭う,あう
2,,アウト
2,青,あお
2,扇ぐ,あおぐ
2,青白い,あおじろい
2,赤,あか
2,,あかちゃん
2,明かり,あかり
2,,あかんぼう
2,明き,あき
2,空き,あき
2,明らか,あきらか
2,諦める,あきらめる
2,飽きる,あきる
2,,あきれる
2,握手,あくしゅ
2,,アクセサリー
2,,アクセント
2,,あくび
2,悪魔,あくま
2,飽くまで,あくまで
2,明け方,あけがた
2,明ける,あける
2,,あげる
2,憧れる,あこがれる
2,浅い,あさい
2,,あさって
2,,アジア
2,足跡,あしあと
2,,あした
2,足元,あしもと
2,味わう,あじわう
2,預かる,あずかる
2,預ける,あずける
2,汗,あせ
2,あそこ,あそこ
2,与える,あたえる
2,温かい,あたたかい
2,暖まる,あたたまる
2,温まる,あたたまる
2,暖める,あたためる
2,温める,あたためる
2,辺り,あたり
2,,あたりまえ
2,当たる,あたる
2,,あちこち
2,あひら,あひら
2,,あっち
2,,あちらこちら
2,扱う,あつかう
2,厚かましい,あつかましい
2,圧縮,あっしゅく
2,集まり,あつまり
2,宛名,あてな
2,,あてはまる
2,,あてはめる
2,当てる,あてる
2,跡,あと
2,,あと
2,穴,あな
2,,アナウンサー
2,,あなた
2,,あの
2,,アパート
2,暴れる,あばれる
2,浴びる,あびる
2,油,あぶら
2,脂,あぶら
2,,アフリカ
2,,あぶる
2,,あふれる
2,雨戸,あまど
2,甘やかす,あまやかす
2,余り,あまり
2,余る,あまる
2,編物,あみもの
2,編む,あむ
2,飴,あめ
2,,アメリカ
2,危うい,あやうい
2,怪しい,あやしい
2,誤り,あやまり
2,,あら
2,荒い,あらい
2,粗い,あらい
2,嵐,あらし
2,,あらすじ
2,争う,あらそう
2,新た,あらた
2,改めて,あらためて
2,改める,あらためる
2,,あらゆる
2,表す,あらわす
2,現す,あらわす
2,著す,あらわす
2,現れ,あらわれ
2,現れる,あらわれる
2,有難い,ありがたい
2,,ありがとう
2,有る,ある
2,在る,ある
2,或,ある
2,,あるいは
2,,アルバイト
2,,アルバム
2,,あれ
2,,あれこれ
2,荒れる,あれる
2,泡,あわ
2,合わせる,あわせる
2,,あわただしい
2,,あわてる
2,哀れ,あわれ
